Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
187,1,-1,0,0,0,0,0,1
145,1,-1,0,0,0,0,0,1
1076,1,-1,0,0,0,0,0,1
186,1,-1,0,0,0,0,0,1
276,1,-1,0,0,0,0,0,1
186,1,-1,0,0,0,0,0,1
213,1,-1,0,0,0,0,0,1
334,1,-1,0,0,0,0,0,1
1053,1,-1,0,0,0,0,0,1
334,1,-1,0,0,0,0,0,1
277,1,-1,0,0,0,0,0,1
1053,1,-1,0,0,0,0,0,1
2166,1,-1,0,0,0,0,0,1
1071,1,-1,0,0,0,0,0,1
1036,1,-1,0,0,0,0,0,1
1071,1,-1,0,0,0,0,0,1
